,date,new_confirmed,total_confirmed,country_name
18827,2021-04-30,7848.0,4787273.0,Russia
18911,2021-04-30,137.0,24814.0,Rwanda
18912,2021-04-30,1062.0,415281.0,Saudi Arabia
18913,2021-04-30,0.0,20.0,Solomon Islands
18914,2021-04-30,252.0,5422.0,Seychelles
18915,2021-04-30,0.0,33944.0,Sudan
18934,2021-04-30,7141.0,967678.0,Sweden
18956,2021-04-30,23.0,61086.0,Singapore
18957,2021-04-30,0.0,0.0,Saint Helena
18958,2021-04-30,918.0,239339.0,Slovenia
18971,2021-04-30,,,Svalbard and Jan Mayen
18972,2021-04-30,682.0,381180.0,Slovakia
18981,2021-04-30,0.0,4046.0,Sierra Leone
19003,2021-04-30,0.0,5058.0,San Marino
19004,2021-04-30,27.0,40193.0,Senegal
19005,2021-04-30,0.0,13915.0,Somalia
19006,2021-04-30,76.0,10157.0,Suriname
19007,2021-04-30,15.0,10553.0,South Sudan
19008,2021-04-30,0.0,2298.0,São Tomé and Príncipe
19009,2021-04-30,0.0,68922.0,El Salvador
19024,2021-04-30,0.0,2220.0,Sint Maarten
19025,2021-04-30,124.0,22513.0,Syria
19026,2021-04-30,5.0,18448.0,Swaziland
19027,2021-04-30,5.0,2384.0,Turks and Caicos Islands
19028,2021-04-30,7.0,4779.0,Chad
19029,2021-04-30,,,French Southern Territories
19030,2021-04-30,57.0,12884.0,Togo
19031,2021-04-30,1871.0,63570.0,Thailand
19109,2021-04-30,0.0,13714.0,Tajikistan
19110,2021-04-30,0.0,0.0,Tokelau
19111,2021-04-30,76.0,2124.0,East Timor
19112,2021-04-30,0.0,0.0,Turkmenistan
19113,2021-04-30,1729.0,305313.0,Tunisia
19114,2021-04-30,0.0,0.0,Tonga
19115,2021-04-30,43301.0,4710582.0,Turkey
19116,2021-04-30,151.0,9947.0,Trinidad and Tobago
19117,2021-04-30,0.0,0.0,Tuvalu
19118,2021-04-30,6.0,1116.0,Taiwan
19141,2021-04-30,0.0,509.0,Tanzania
19142,2021-04-30,11627.0,2059465.0,Ukraine
19170,2021-04-30,22.0,41737.0,Uganda
